WellID,BVHH,FormationAlias,NioGOR,CodGOR,LateralLength,ProppantPerFoot,FluidPerFoot,LeftDistance,LeftNeighbourType,RightDistance,RightNeighbourType,TVD,NormalizedOilEUR,NormalizedGasEUR
0512335536,0.952382199,NIOBRARA,9430.969198,9660.174312,3913,864.2984922,901.024278,948,Codeveloped,,NoNeighbour,6989,19.80092001,237.5108612
0512335537,0.985910204,NIOBRARA,9571.291992,10023.98555,4142,945.9198455,899.156929,,NoNeighbour,948,Codeveloped,6979,16.80299372,187.9630613
0512335541,0.900834392,NIOBRARA,10630.02399,11207.95708,3728,825.6437768,760.4613734,,NoNeighbour,930,Codeveloped,6986,13.44501073,174.3095494
0512335543,0.699743229,NIOBRARA,3298.665986,,3467,1816.5561,1127.022209,,NoNeighbour,,NoNeighbour,6214,13.46235939,60.31093164
0512335545,0.875169841,NIOBRARA,10296.56585,10916.23558,4050,811.8518519,726.7160494,930,Codeveloped,,NoNeighbour,6946,13.78024691,170.7434568
0512335546,0.545292308,CODELL,2516.585171,1708.115307,4040,886.1386139,613.9381188,,NoNeighbour,,NoNeighbour,6931,14.34381188,34.38292079
0512335558,0.734643005,NIOBRARA,2180.73935,1761.88775,3970,981.8639798,730.2816121,622,Codeveloped,675,Codeveloped,6715,25.91914358,60.7418136
0512335559,0.741124871,NIOBRARA,2082.783326,1831.400011,4003,883.8371222,735.6767424,1278,Codeveloped,,NoNeighbour,6726,24.13564826,57.34848863
0512335564,0.742867876,NIOBRARA,2116.1353,1800.694536,3940,918.7817259,753.8573604,614,Parent,664,Parent,6737,24.74543147,65.19670051
0512335567,0.741669474,NIOBRARA,2149.468584,1786.583332,4118,914.5216124,702.1282176,675,Codeveloped,1278,Codeveloped,6720,25.42399223,77.41597863
0512335569,0.615115263,NIOBRARA,2276.727117,1739.923141,3972,981.8731118,726.0438066,,NoNeighbour,657,Codeveloped,6765,20.61858006,54.76963746
0512335570,0.68737644,NIOBRARA,2223.052687,1733.796641,4013,932.9678545,728.9349614,669,Codeveloped,669,Codeveloped,6759,27.42287565,72.16645901
0512335572,0.656886387,NIOBRARA,2249.687974,1734.790517,3988,,,657,Codeveloped,669,Codeveloped,6776,19.0498997,57.94633902
0512335573,0.722901015,NIOBRARA,2195.383393,1743.559316,4105,944.7015834,706.3161998,669,Codeveloped,622,Codeveloped,6731,26.88331303,77.10767357
0512335574,0.90462356,NIOBRARA,3763.420759,2707.613506,3979,21.25106811,611.8130183,660,Codeveloped,5040,Parent,6648,19.64890676,79.10756471
0512335591,1.59532732,NIOBRARA,5029.67627,4868.79472,4166,610.6577052,1026.49976,692,Codeveloped,,NoNeighbour,7202,30.73763802,201.9284686
0512335592,1.622341053,NIOBRARA,5014.290898,4898.315907,5611,412.404206,485.7658171,919,Codeveloped,692,Codeveloped,7259,18.56335769,129.8110854
0512335594,0.869190769,CODELL,4999.097427,4914.275143,4157,458.0226125,755.838345,,NoNeighbour,,NoNeighbour,7396,28.12893914,174.8713014
0512335595,1.647439267,NIOBRARA,4956.474984,4969.796434,4071,,,643,Codeveloped,919,Codeveloped,7216,30.15278801,231.3775485
0512335596,0.957333508,NIOBRARA,4253.905239,6302.306781,3970,756.675063,727.488665,,NoNeighbour,,NoNeighbour,6991,18.6836272,74.71234257
